Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0737,淡江大學,財務金融學系,國x1.00 英x1.50 數乙x2.00,62,270.38,---,---,---,---,---,---
0740,淡江大學,產業經濟學系,國x1.00 英x1.50 數乙x2.00,57,206.38,---,208.48,---,---,---,---
0741,淡江大學,國際企業學系經貿管理組,國x1.00 英x1.50 數乙x2.00,37,244.20,---,---,---,---,---,---
0742,淡江大學,國際企業學系國際商學全英語組,國x1.00 英x2.00 數乙x2.00,28,251.80,---,---,---,---,---,---
0743,淡江大學,風險管理與保險學系,國x1.00 英x1.50 數乙x2.00,59,190.03,---,---,---,---,---,---
0744,淡江大學,經濟學系,國x1.00 英x1.50 數乙x2.00,59,238.30,---,---,---,---,---,---
0745,淡江大學,會計學系,國x1.00 英x1.50 數乙x2.00,75,247.38,---,---,---,---,---,---
0746,淡江大學,企業管理學系,國x1.00 英x1.50 數乙x2.00,51,224.98,---,---,---,---,---,---
0747,淡江大學,統計學系,國x1.00 英x1.50 數乙x2.00,50,214.68,數學乙56.40,---,---,---,---,---
0750,淡江大學,資訊管理學系,國x1.00 英x1.50 數乙x2.00,79,222.68,---,---,---,---,---,---
0751,淡江大學,運輸管理學系,國x1.00 英x1.50 數乙x2.00,40,190.03,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0753,淡江大學,管理科學學系(事業經營組),國x1.00 英x1.50 數乙x2.00,28,191.20,---,---,---,---,---,---
0754,淡江大學,管理科學學系(行銷與流通管理組),國x1.00 英x2.00 數乙x2.00,28,203.10,---,---,---,---,---,---
0755,淡江大學,外交與國際關係學系全英語學士班,國x1.50 英x2.00 歷x1.50,9,271.90,---,---,---,---,---,---
0756,淡江大學,"國際觀光管理學系全英語學士班(海外實習組)",國x1.00 英x2.00 地x1.00,11,180.60,---,---,---,---,---,---
0757,淡江大學,"國際觀光管理學系全英語學士班(產業實習組)",國x1.00 英x2.00 歷x1.00,10,172.10,---,---,---,---,---,---
0760,淡江大學,全球政治經濟學系全英語學士班,國x1.00 英x2.00 歷x1.00,9,184.70,---,---,---,---,---,---
0761,淡江大學,理學院尖端材料科學學士學位學程,國x1.00 英x1.00 數甲x2.00 物x1.50 化x1.50,19,177.10,---,---,---,---,---,---
0762,淡江大學,數學學系數學組,國x1.50 英x1.00 數甲x2.00 物x1.50,23,165.75,---,---,---,---,---,---
0763,淡江大學,數學學系資料科學與數理統計組,國x1.50 英x1.00 數甲x2.00 物x1.50,16,168.15,---,---,---,---,---,---
0764,淡江大學,化學學系化學與生物化學組,國x1.00 英x1.00 數甲x2.00 物x2.00 化x2.00,18,215.10,---,---,---,---,---,---
0765,淡江大學,化學學系材料化學組,國x1.00 英x1.00 數甲x2.00 物x2.00 化x2.00,24,214.40,---,---,---,---,---,---
0766,淡江大學,物理學系光電物理組,國x1.00 物x2.00 化x1.50,15,144.40,---,---,---,---,---,---
0767,淡江大學,物理學系應用物理組,國x1.00 物x2.00 化x1.50,16,138.50,---,---,155.14,---,---,---
0770,淡江大學,建築學系,國x1.50 英x2.00 數甲x1.50 物x1.00 化x1.00,21,312.70,---,---,---,---,---,---
0771,淡江大學,土木工程學系,國x2.00 數甲x1.00 物x1.50,28,163.50,---,---,---,---,---,---
0772,淡江大學,資訊工程學系,國x2.00 英x1.00 數甲x1.50 物x1.00,58,247.85,---,---,---,---,---,---
0773,淡江大學,資訊工程學系全英語學士班,國x1.00 英x2.00 數乙x2.00,12,265.10,---,---,---,---,---,---
0774,淡江大學,機械與機電工程學系光機電整合組,國x1.50 英x1.00 數甲x2.00 物x2.00 化x1.00,17,231.15,---,---,---,---,---,---
0775,淡江大學,機械與機電工程學系精密機械組,國x1.50 英x1.00 數甲x2.00 物x2.00 化x1.00,22,217.70,---,---,---,---,---,---
0776,淡江大學,人工智慧學系,國x1.00 英x1.00 數甲x2.00 物x2.00,17,221.05,---,---,---,---,---,---
0777,淡江大學,電機工程學系電機資訊組,國x1.00 英x1.00 數甲x2.00 物x2.00,16,239.55,---,---,---,---,---,---
1000,淡江大學,電機工程學系電機通訊組,國x1.00 英x1.00 數甲x2.00 物x2.00,20,210.95,---,---,---,---,---,---
1001,淡江大學,電機工程學系電機與系統組,國x1.00 英x1.00 數甲x2.00 物x2.00,15,237.15,---,---,---,---,---,---
1002,淡江大學,化學工程與材料工程學系,國x2.00 英x1.00 數甲x1.50 物x1.00 化x2.00,65,223.15,---,---,---,---,---,---
1003,淡江大學,航空太空工程學系,國x1.00 英x2.00 數甲x2.00 物x2.00 化x1.00,32,256.40,---,---,---,---,---,---
1004,淡江大學,水資源及環境工程學系水資源工程組,國x2.00 數甲x1.50 物x1.00,18,148.80,---,---,---,---,---,---
1005,淡江大學,水資源及環境工程學系環境工程組,國x2.00 數甲x1.00 化x1.50,19,156.60,---,---,---,---,---,---
1006,逢甲大學,機械與電腦輔助工程學系,國x2.00 數甲x1.50 物x1.50,36,175.70,---,---,---,---,---,---
1007,逢甲大學,纖維與複合材料學系,國x2.00 英x1.00 數甲x2.00 物x1.00 化x2.00,12,247.65,---,---,---,---,---,---
1010,逢甲大學,工業工程與系統管理學系A組,國x2.00 英x2.00 數甲x1.00,12,204.10,---,---,---,---,---,---
1011,逢甲大學,工業工程與系統管理學系B組,國x2.00 英x2.00 數乙x1.00,11,230.10,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1013,逢甲大學,航太與系統工程學系,國x2.00 英x1.00 數甲x1.50 物x1.75,10,267.95,---,---,---,---,---,---
1014,逢甲大學,精密系統設計學士學位學程,國x2.00 數甲x1.50 物x2.00,10,190.20,---,---,---,---,---,---
1015,逢甲大學,應用數學系A組,國x1.75 英x1.75 數甲x2.00,9,198.10,---,---,---,---,---,---
1016,逢甲大學,應用數學系B組,國x1.75 英x1.75 數乙x2.00,8,268.34,---,---,---,---,---,---
1017,逢甲大學,材料科學與工程學系,國x1.00 英x2.00 數甲x1.00 物x1.50 化x2.00,29,258.30,---,---,---,---,---,---
1020,逢甲大學,環境工程與科學學系,國x2.00 數甲x1.75 化x2.00,14,201.60,---,---,---,---,---,---
1021,逢甲大學,光電科學與工程學系A組,國x2.00 英x1.50 數甲x1.50,14,214.48,---,---,---,---,---,---
1022,逢甲大學,光電科學與工程學系B組,國x1.50 英x1.50 數乙x2.00,13,254.30,---,---,---,---,---,---
1023,逢甲大學,會計學系,國x1.50 英x1.50 數乙x1.25 歷x1.00 地x1.00,30,333.20,---,---,---,---,---,---
1024,逢甲大學,國際經營與貿易學系,國x1.25 英x2.00 數乙x1.50,23,224.90,---,---,---,---,---,---
1025,逢甲大學,國際企業管理全英語學士學位學程,國x1.00 英x2.00 數乙x1.25,7,191.80,---,---,---,---,---,---
1026,逢甲大學,財稅學系,國x1.50 英x1.50 數乙x1.50 歷x1.00 地x1.00,14,352.13,---,---,---,---,---,---
1027,逢甲大學,合作經濟暨社會事業經營學系,國x1.50 英x2.00 數乙x1.50 歷x1.00 地x1.00,5,349.70,---,---,---,---,---,---
1030,逢甲大學,統計學系商業大數據組,英x1.75 數乙x2.00 地x1.50,13,254.08,---,---,---,---,---,---
1031,逢甲大學,統計學系大數據分析與市場決策組,國x1.50 英x1.75 數乙x2.00,5,264.40,---,---,---,---,---,---
1032,逢甲大學,經濟學系,國x1.00 英x1.50 數乙x1.50 歷x1.00 地x1.00,10,339.20,---,---,374.30,---,---,---
1033,逢甲大學,企業管理學系,國x2.00 英x2.00 數乙x1.75 歷x1.00 地x1.00,14,404.20,---,---,---,---,---,---
1034,逢甲大學,行銷學系,國x2.00 英x2.00 數乙x1.75,10,283.80,---,---,---,---,---,---
1035,逢甲大學,中國文學系,國x2.00 英x1.25 歷x2.00,7,289.96,---,---,---,---,---,---
1036,逢甲大學,外國語文學系,國x1.75 英x2.00 歷x1.50,31,254.60,---,257.01,---,---,---,---
1037,逢甲大學,資訊工程學系甲組,國x1.00 英x1.50 數甲x1.50 物x1.00,16,251.73,---,---,---,---,---,---
1040,逢甲大學,資訊工程學系乙組,國x1.00 英x1.50 數乙x2.00,15,295.38,---,---,---,---,---,---
1041,逢甲大學,電子工程學系甲組,國x1.00 英x1.00 數甲x1.00 物x1.50,9,207.95,---,---,---,---,---,---
1042,逢甲大學,電子工程學系乙組,國x1.00 英x1.00 數乙x1.75,8,228.65,---,---,---,---,---,---
1043,逢甲大學,電機工程學系甲組,國x2.00 英x1.00 數甲x1.50 物x1.50,23,301.75,---,311.30,---,---,---,---
1044,逢甲大學,電機工程學系乙組,國x1.50 英x1.25 數乙x1.50,21,258.30,---,---,---,---,---,---
1045,逢甲大學,自動控制工程學系甲組,國x1.50 英x1.00 數甲x1.50 物x1.50,10,216.80,---,---,---,---,---,---
1046,逢甲大學,自動控制工程學系乙組,國x1.50 英x1.25 數乙x1.75,10,230.39,---,---,---,---,---,---
1047,逢甲大學,資訊電機學院學士班甲組,國x1.50 英x1.00 數甲x1.50 物x1.50,12,250.80,---,---,---,---,---,---
1050,逢甲大學,資訊電機學院學士班乙組,國x1.50 英x1.25 數乙x2.00,11,279.30,---,---,---,---,---,---
1051,逢甲大學,通訊工程學系甲組,國x1.00 英x1.00 數甲x1.25 物x1.25,8,194.65,---,---,---,---,---,---
1052,逢甲大學,通訊工程學系乙組,國x1.25 英x1.25 數乙x1.50,8,218.23,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1054,逢甲大學,水利工程與資源保育學系A組,國x2.00 英x2.00 數甲x1.00,7,192.20,---,194.76,---,---,---,---
1055,逢甲大學,水利工程與資源保育學系B組,國x2.00 英x2.00 數乙x1.00,6,220.80,---,---,---,---,---,---
1056,逢甲大學,都市計畫與空間資訊學系,國x2.00 英x1.00 數乙x1.00 地x2.00,5,338.37,---,---,---,---,---,---
1057,逢甲大學,運輸與物流學系,國x2.00 英x2.00 數乙x1.75,9,282.10,---,---,---,---,---,---
1060,逢甲大學,土地管理學系,國x1.50 英x1.00 數乙x1.00 歷x1.00 地x1.50,8,340.00,---,---,---,---,---,---
1061,逢甲大學,財務金融學系,國x1.00 英x1.50 數乙x1.00,50,183.75,---,---,---,---,---,---
1062,逢甲大學,風險管理與保險學系,國x1.00 英x1.50 數乙x1.50,25,176.45,---,---,---,---,---,---
1063,逢甲大學,財務工程與精算學士學位學程,國x1.00 英x1.50 數乙x2.00,11,221.70,---,---,---,---,---,---
1064,逢甲大學,建築專業學院學士班,國x2.00 英x2.00 數甲x1.75 物x1.00,17,305.60,---,---,---,---,---,---
1065,逢甲大學,人工智慧技術與應用學士學位學程,國x1.00 英x1.25 數甲x1.50,9,172.11,---,---,---,---,---,---
1066,國立中央大學,中國文學系,國x2.00 英x1.50 歷x1.50 地x1.00,17,460.70,---,---,---,---,---,---
1067,國立中央大學,英美語文學系,國x1.50 英x2.00 歷x1.25 地x1.00,12,454.13,---,---,---,---,---,---
1070,國立中央大學,法國語文學系,國x1.50 英x2.00 歷x1.25 地x1.00 公x1.00,16,519.28,---,---,---,---,---,---
1071,國立中央大學,文學院學士班,國x1.00 英x1.00 歷x1.25 公x1.25,5,346.70,---,---,---,---,---,---
1072,國立中央大學,數學系數學科學組,國x1.00 英x1.25 數甲x1.50 物x1.25 化x1.00,19,356.01,---,---,---,---,---,---
1073,國立中央大學,數學系計算與資料科學組,國x1.00 英x1.25 數甲x1.50 物x1.25 化x1.00,17,359.81,---,---,---,---,---,---
1074,國立中央大學,物理學系,國x1.00 英x1.00 數甲x1.50 物x1.50 化x1.00,17,380.90,---,---,---,---,---,---
1075,國立中央大學,化學學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,18,324.25,---,---,---,---,---,---
1076,國立中央大學,光電科學與工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,9,332.65,---,---,---,---,---,---
1077,國立中央大學,理學院學士班,國x1.00 英x1.00 數甲x1.50 物x1.25 化x1.25,8,381.73,---,---,---,---,---,---
1100,國立中央大學,土木工程學系,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,50,426.50,---,---,---,---,---,---
1101,國立中央大學,機械工程學系光機電工程組,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,19,470.25,---,---,---,---,---,---
1102,國立中央大學,機械工程學系先進材料與精密製造組,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,22,456.95,---,---,---,---,---,---
1103,國立中央大學,機械工程學系設計與分析組,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,15,450.53,---,---,---,---,---,---
1104,國立中央大學,化學工程與材料工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,24,331.50,---,---,---,---,---,---
1105,國立中央大學,工學院學士班,國x1.00 英x1.00 數甲x2.00 物x2.00 化x2.00,10,518.85,---,---,---,---,---,---
1106,國立中央大學,企業管理學系,國x1.50 英x2.00 數乙x2.00,66,425.40,英文89.00,430.39,---,---,---,---
1107,國立中央大學,資訊管理學系,國x1.50 英x2.00 數甲x2.00,50,380.60,---,---,---,---,---,---
1110,國立中央大學,經濟學系,國x1.25 英x2.00 數乙x2.00,20,419.00,---,---,---,---,---,---
1111,國立中央大學,財務金融學系,國x1.00 英x1.50 數乙x1.50,18,326.40,---,---,---,---,---,---
1112,國立中央大學,電機工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,22,365.65,---,---,---,---,---,---
1113,國立中央大學,資訊工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,26,362.60,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1115,國立中央大學,資訊電機學院學士班,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,7,361.25,---,---,---,---,---,---
1116,國立中央大學,大氣科學學系,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.00,11,402.80,---,---,---,---,---,---
1117,國立中央大學,太空科學與工程學系,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.00,9,421.65,---,---,---,---,---,---
1120,國立中央大學,地球科學學系,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.00,18,386.65,---,---,---,---,---,---
1121,國立中央大學,地球科學學院學士班,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.00,10,386.60,---,---,---,---,---,---
1122,國立中央大學,客家語文暨社會科學學系,國x1.50 英x1.00 數乙x1.00 歷x1.00 公x1.50,9,426.60,---,---,---,---,---,---
1123,國立中央大學,生命科學系,國x1.00 英x1.00 數甲x1.00 化x1.25 生x1.50,22,377.45,---,---,---,---,---,---
1124,國立中央大學,生醫科學與工程學系,英x1.00 物x1.25 化x1.25,19,233.75,---,---,---,---,---,---
1125,中國文化大學,哲學系,國x2.00 英x1.50 歷x2.00,30,211.90,---,---,---,---,---,---
1126,中國文化大學,中國文學系中國文學組,國x2.00 英x2.00 歷x2.00 地x1.00,43,188.80,---,---,---,---,---,---
1127,中國文化大學,中國文學系文藝創作組,國x2.00 英x2.00 歷x2.00 地x1.00,23,190.20,---,---,---,---,---,---
1130,中國文化大學,史學系,國x2.00 英x2.00 歷x2.00 地x1.00 公x1.00,29,213.20,---,---,---,---,---,---
1131,中國文化大學,日本語文學系,國x2.00 英x1.50 歷x2.00 地x1.00,56,257.80,---,---,---,---,---,---
1132,中國文化大學,韓國語文學系,國x2.00 英x2.00 歷x1.00 地x1.00,41,262.60,---,---,---,---,---,---
1133,中國文化大學,俄國語文學系,國x2.00 英x2.00 歷x1.00 地x1.00,15,169.60,---,---,---,---,---,---
1134,中國文化大學,英國語文學系,國x1.25 英x2.00 歷x1.00,42,102.80,---,---,---,---,---,---
1135,中國文化大學,法國語文學系,國x2.00 英x2.00 歷x1.00 地x1.00,21,150.80,---,---,---,---,---,---
1136,中國文化大學,全球商務學士學位學程,國x1.00 英x2.00 數乙x1.00,22,99.70,---,---,---,---,---,---
1137,中國文化大學,應用數學系,國x2.00 英x1.50 數甲x2.00,20,146.55,---,---,---,---,---,---
1140,中國文化大學,光電物理學系,國x1.00 英x1.00 數甲x1.50 物x2.00 化x1.00,19,137.70,---,---,---,---,---,---
1141,中國文化大學,化學系,國x1.50 英x1.00 數甲x1.50 物x1.00 化x2.00,26,135.60,---,---,---,---,---,---
1142,中國文化大學,地理學系A組,國x1.00 英x1.00 數甲x2.00 物x2.00 化x1.00,10,142.30,---,---,---,---,---,---
1143,中國文化大學,地理學系B組,國x1.00 英x1.00 數乙x2.00 歷x1.00 地x2.00,15,259.00,---,---,---,---,---,---
1144,中國文化大學,大氣科學系,國x1.00 英x1.50 數甲x2.00 物x1.50 化x1.00,26,107.80,---,---,---,---,---,---
1145,中國文化大學,地質學系,國x1.00 英x1.50 數甲x1.00 物x1.75 化x2.00,19,110.95,---,---,---,---,---,---
1146,中國文化大學,生命科學系,國x1.00 英x1.50 數甲x1.00 化x1.50 生x2.00,22,168.10,---,---,---,---,---,---
1147,中國文化大學,法律學系法學組,國x1.50 英x1.50 歷x1.00 地x1.00 公x1.00,64,317.75,---,340.77,---,---,---,---
1150,中國文化大學,法律學系財經法律組,國x1.50 英x1.50 歷x1.00 地x1.00 公x1.00,58,270.80,---,324.23,---,---,---,---
1151,中國文化大學,法律學系企業金融法制組,國x1.50 英x1.50 歷x1.00 地x1.00 公x1.00,29,257.08,---,---,---,---,---,---
1152,中國文化大學,政治學系,國x1.50 英x1.00 歷x1.50,31,150.65,---,186.38,---,---,---,---
1153,中國文化大學,經濟學系,國x1.75 英x2.00 數乙x2.00,51,180.30,---,---,---,---,---,---
1154,中國文化大學,勞動暨人力資源學系,國x2.00 英x1.50 歷x2.00,31,153.00,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1156,中國文化大學,行政管理學系,國x1.50 英x1.50 歷x1.00 公x2.00,54,163.30,---,---,---,---,---,---
1157,中國文化大學,園藝暨生物技術學系,國x1.00 英x1.50 化x1.50 生x2.00,17,116.40,---,---,---,---,---,---
1160,中國文化大學,動物科學系,國x1.00 英x2.00 化x2.00 生x2.00,27,166.20,生物41.60,---,---,---,---,---
1161,中國文化大學,森林暨自然保育學系,國x2.00 英x1.00 歷x2.00 地x2.00,14,223.33,---,---,---,---,---,---
1162,中國文化大學,土地資源學系A組,國x2.00 英x1.00 數乙x1.00 歷x2.00 地x2.00,9,275.60,---,---,---,---,---,---
1163,中國文化大學,土地資源學系B組,國x2.00 英x2.00 數甲x1.00 物x1.00 化x2.00,4,139.60,---,---,---,---,---,---
1164,中國文化大學,生活應用科學系,國x2.00 英x1.00 數乙x1.00 歷x2.00 地x2.00,19,229.00,---,---,---,---,---,---
1165,中國文化大學,保健營養學系,國x2.00 英x1.00 化x2.00 生x2.00,34,195.60,---,---,---,---,---,---
1166,中國文化大學,化學工程與材料工程學系,國x2.00 英x1.00 數甲x2.00 物x1.00 化x2.00,39,148.80,---,---,---,---,---,---
1167,中國文化大學,電機工程學系A組,國x2.00 英x2.00 數甲x2.00 物x1.00,21,208.80,---,---,---,---,---,---
1170,中國文化大學,電機工程學系B組,國x2.00 英x2.00 數甲x1.00 物x2.00 化x1.00,20,216.40,---,---,---,---,---,---
1171,中國文化大學,機械工程學系,國x2.00 英x1.00 數甲x2.00 物x2.00 化x1.00,36,173.80,---,---,---,---,---,---
1172,中國文化大學,紡織工程學系,國x2.00 英x2.00 數甲x1.00 物x1.00 化x2.00,10,119.20,---,---,---,---,---,---
1173,中國文化大學,資訊工程學系A組,國x2.00 英x1.00 數甲x2.00 物x2.00 化x1.00,30,216.00,數學甲16.00,---,---,---,---,---
1174,中國文化大學,資訊工程學系B組,國x2.00 英x1.00 數乙x2.00 歷x2.00 地x1.00,30,291.75,---,---,---,---,---,---
1175,中國文化大學,國際貿易學系,國x2.00 英x2.00 數乙x1.00 歷x1.00 地x1.00,69,173.80,---,---,---,---,---,---
1176,中國文化大學,國際企業管理學系,國x2.00 英x1.00 數乙x1.00 歷x1.00 地x1.00,68,158.70,---,---,---,---,---,---
1177,中國文化大學,會計學系,國x2.00 英x2.00 數乙x1.00 歷x2.00 地x1.00,43,305.40,---,---,---,---,---,---
1200,中國文化大學,觀光事業學系,國x1.00 英x2.00 歷x2.00 地x1.50 公x1.00,30,202.80,---,---,---,---,---,---
1201,中國文化大學,資訊管理學系(智慧商務科技組),國x2.00 英x2.00 歷x1.75,43,170.50,---,---,---,---,---,---
1202,中國文化大學,資訊管理學系(雲端服務暨巨量資料組),國x2.00 數乙x2.00 歷x1.75,20,206.58,---,---,---,---,---,---
1203,中國文化大學,財務金融學系金融行銷組,國x1.00 英x1.00 歷x1.00 公x2.00,28,208.25,---,238.29,---,---,---,---
1204,中國文化大學,財務金融學系財務金融組,國x2.00 英x1.00 數乙x1.00 公x2.00,36,224.95,---,234.66,---,---,---,---
1205,中國文化大學,行銷學士學位學程,國x1.00 英x1.00 歷x1.00 公x2.00,22,178.50,---,190.50,---,---,---,---
1206,中國文化大學,新聞學系,國x2.00 英x2.00 數乙x1.00 歷x1.00 公x2.00,63,207.90,---,---,---,---,---,---
1207,中國文化大學,廣告學系A組,國x2.00 英x2.00 數乙x1.00 公x1.00,21,209.90,---,---,---,---,---,---
1210,中國文化大學,廣告學系B組,國x1.00 英x1.00 術x1.00,22,115.70,---,---,---,---,---,---
1211,中國文化大學,資訊傳播學系,國x2.00 英x1.00 歷x1.50 公x1.50,43,210.55,---,---,---,---,---,---
1212,中國文化大學,大眾傳播學系,國x2.00 英x1.00 數乙x1.00 歷x2.00 公x2.00,53,338.20,---,---,---,---,---,---
1213,中國文化大學,美術學系,國x2.00 英x1.00 歷x1.00 地x1.00 術x2.00,24,325.58,---,---,---,---,---,---
1214,中國文化大學,音樂學系A組,國x1.00 英x1.00 術x2.00,5,159.30,---,---,---,---,---,---
1215,中國文化大學,音樂學系B組,國x2.00 英x1.50 歷x1.00,3,178.65,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1217,中國文化大學,都市計劃與開發管理學系,國x2.00 英x2.00 數乙x2.00 歷x1.00 地x1.00,33,175.20,---,---,---,---,---,---
1220,中國文化大學,建築及都市設計學系,國x2.00 英x2.00 數乙x1.50,29,180.70,---,---,---,---,---,---
1221,中國文化大學,景觀學系,國x2.00 英x2.00 數乙x1.00,24,146.00,---,---,---,---,---,---
1222,中國文化大學,教育學系,國x2.00 英x1.50 歷x2.00,36,206.30,---,213.43,---,---,---,---
1223,中國文化大學,心理輔導學系,國x2.00 英x2.00 公x1.75,30,241.20,---,---,---,---,---,---
1224,中國文化大學,體育學系,國x1.00 英x1.00 生x1.00,9,108.05,---,---,---,---,---,---
1225,中國文化大學,運動與健康促進學系,國x2.00 英x2.00 生x1.75,4,207.58,---,---,---,---,---,---
1226,靜宜大學,英國語文學系,國x1.50 英x2.00 歷x1.50,10,133.35,---,---,---,---,---,---
1227,靜宜大學,西班牙語文學系,國x2.00 英x1.50 歷x1.00,24,155.60,---,---,---,---,---,---
1230,靜宜大學,日本語文學系,國x2.00 英x1.00 歷x1.50 地x1.50,42,251.65,---,---,---,---,---,---
1231,靜宜大學,中國文學系,國x2.00 歷x2.00 地x1.00,38,232.20,---,---,---,---,---,---
1232,靜宜大學,社會工作與兒童少年福利學系,國x2.00 英x1.00 歷x2.00 地x1.00,19,294.55,---,---,---,---,---,---
1233,靜宜大學,台灣文學系,國x2.00 歷x1.25 地x1.25,11,197.08,---,---,---,---,---,---
1234,靜宜大學,法律學系,國x2.00 英x1.00 數乙x1.00 公x1.50,25,281.00,---,---,---,---,---,---
1235,靜宜大學,生態人文學系(自然組),國x2.00 英x2.00 生x1.50,7,195.80,---,---,---,---,---,---
1236,靜宜大學,生態人文學系(人文組),國x2.00 英x2.00 歷x1.50,7,223.15,---,---,---,---,---,---
1237,靜宜大學,大眾傳播學系,國x2.00 英x2.00 歷x1.75,12,274.03,---,---,---,---,---,---
1240,靜宜大學,財務工程學系,國x2.00 英x1.50 數乙x2.00,11,214.18,---,---,---,---,---,---
1241,靜宜大學,應用化學系,國x2.00 英x1.00 化x2.00,16,171.10,---,---,---,---,---,---
1242,靜宜大學,食品營養學系營養與保健組,國x2.00 化x1.00 生x2.00,19,196.00,---,---,---,---,---,---
1243,靜宜大學,食品營養學系食品與生物技術組,國x2.00 化x1.00 生x2.00,12,198.60,---,---,---,---,---,---
1244,靜宜大學,化粧品科學系,國x2.00 英x1.00 化x2.00,16,162.60,---,---,---,---,---,---
1245,靜宜大學,資料科學暨大數據分析與應用學系,國x2.00 英x1.50 數乙x2.00,16,208.70,---,---,---,---,---,---
1246,靜宜大學,企業管理學系,國x2.00 英x2.00 歷x2.00 地x1.00,64,285.80,---,339.63,---,---,---,---
1247,靜宜大學,國際企業學系(國際經營與行銷組),國x1.50 英x1.50 歷x1.00 公x1.00,16,215.13,---,---,---,---,---,---
1250,靜宜大學,國際企業學系(國際貿易與運籌組),國x1.50 英x1.50 歷x1.00 地x1.00,16,212.73,---,235.70,---,---,---,---
1251,靜宜大學,會計學系,國x2.00 英x1.50 數乙x1.50 歷x1.00,28,254.88,---,---,---,---,---,---
1252,靜宜大學,觀光事業學系(甲組),國x2.00 歷x1.00 地x2.00 公x2.00,17,314.80,---,324.72,---,---,---,---
1253,靜宜大學,觀光事業學系(乙組),國x2.00 數乙x1.00 歷x2.00 地x2.00,15,280.00,---,---,---,---,---,---
1254,靜宜大學,觀光事業學系(丙組),國x2.00 英x1.00 歷x2.00 地x2.00,15,302.00,---,---,---,---,---,---
1255,靜宜大學,財務金融學系(金融管理組),國x1.50 英x1.25 數乙x1.00 歷x1.50,15,242.50,---,---,---,---,---,---
1256,靜宜大學,財務金融學系(投資管理組),國x1.50 英x1.00 數乙x1.25 地x1.50,15,236.30,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1260,靜宜大學,資訊管理學系(行動與雲端商務組),國x2.00 英x1.00 數乙x2.00 地x1.00,11,229.60,數學乙37.60,---,---,---,---,---
1261,靜宜大學,"資訊工程學系(智慧電子與數位系統設計組)",國x2.00 英x2.00 數乙x1.75,9,262.00,---,---,---,---,---,---
1262,靜宜大學,資訊工程學系(人工智慧與網路技術組),國x2.00 英x1.50 數乙x2.00,9,242.80,---,---,---,---,---,---
1263,靜宜大學,資訊工程學系(智慧生活與服務設計組),國x2.00 數乙x2.00 公x1.50,9,245.00,---,---,---,---,---,---
1264,靜宜大學,"資訊傳播工程學系(虛擬實境多媒體應用組)",國x2.00 英x1.00 數乙x2.00,10,194.25,---,---,---,---,---,---
1265,靜宜大學,"資訊傳播工程學系(互動科技整合設計組)",國x2.00 英x2.00 公x1.00,10,185.60,---,---,---,---,---,---
